h_str,a_str,hth,h_poise,a_poise,result
81.6,76.4,1.8,1.8,0,WIN
73.9,80.1,2.0,2.0,0,DRAW
79.3,82.8,2.6,0.8,0,DRAW
75.8,74.9,1.6,1.8,0,DRAW
78.6,75.9,1.0,0.8,0,WIN
72.0,82.2,1.4,1.8,0,DRAW
77.5,82.1,1.4,1.6,0,WIN
76.1,73.5,0.6,2.2,0,LOSE
73.2,72.0,1.2,0.4,0,WIN
74.5,79.4,1.4,1.8,0,DRAW
80.6,74.0,2.2,0.6,0,WIN
78.6,76.5,2.2,1.4,0,DRAW
76.2,75.3,1.4,0.0,0,DRAW
83.1,71.5,1.8,0.2,0,LOSE
75.4,78.7,1.0,1.6,0,WIN
77.5,76.0,2.0,1.8,0,DRAW
72.5,79.0,1.4,1.2,0,DRAW
82.1,77.0,2.4,0.6,0,WIN
73.5,73.8,1.4,2.0,0,LOSE
76.1,74.1,1.4,1.6,0,WIN
75.9,77.0,1.8,2.0,0,DRAW
71.5,74.3,1.0,1.6,0,WIN
75.3,80.8,0.2,2.0,0,LOSE
79.3,74.3,1.6,1.4,0,DRAW
78.5,75.4,2.2,0.6,0,LOSE
73.5,82.9,2.0,0.4,0,WIN
74.3,71.8,1.4,0.8,0,LOSE
75.4,79.3,1.6,1.8,0,LOSE
77.4,75.5,2.0,1.4,0,LOSE
83.0,74.4,1.2,0.6,0,WIN
79.0,73.4,1.6,2.6,0,LOSE
80.6,72.5,2.2,0.2,0,LOSE
75.4,75.4,1.6,0.2,0,DRAW
73.8,78.6,1.2,1.6,0,WIN
77.2,75.5,0.4,1.0,0,DRAW
80.8,82.6,2.6,1.0,0,WIN
77.5,80.3,1.8,1.6,0,WIN
77.0,74.4,0.4,1.0,0,WIN
79.3,73.3,1.6,0.6,0,WIN
75.1,75.3,0.2,1.0,0,DRAW
71.8,74.8,1.0,2.0,0,DRAW
83.5,74.5,1.8,2.0,0,DRAW
78.9,73.9,1.6,2.6,0,WIN
82.5,74.4,2.4,0.6,0,WIN
74.9,79.1,1.6,1.2,0,LOSE
76.5,80.8,1.0,2.0,0,WIN
74.4,74.9,1.4,1.2,0,WIN
