id,name,1516,1617,1718,1819,1920,2021,2122,2223
8718,Stuart Dallas,0,0,0,0,0,74,75,75
3294,Edinson Cavani,0,0,0,0,0,84,84,0
7153,Matheus Pereira,0,0,0,0,0,76,0,0
2251,Gareth Bale,0,0,0,0,0,83,0,0
8865,Ollie Watkins,0,0,0,0,0,76,78,78
8563,George Hirst,0,0,0,0,65,0,0,67
8562,Luke Thomas,0,0,0,0,0,64,73,75
8518,Jordan Thomas,0,0,0,0,55,0,0,0
8496,Tommy Doyle,0,0,0,0,62,60,0,0
8720,Jack Harrison,0,0,0,0,0,74,77,77
8493,Jake Vokins,0,0,0,0,57,63,0,63
8476,Jarrad Branthwaite,0,0,0,0,0,63,66,0
8472,Richairo Zivkovic,69,69,70,70,69,68,67,66
8456,Nathan Tella,0,0,0,0,0,62,66,67
8455,Josh Martin,0,52,53,53,52,0,0,0
8384,Armando Broja,0,0,0,0,0,0,70,75
8383,Faustino Anjorin,0,0,0,0,0,58,59,64
8380,Pablo Marí,0,0,0,0,0,75,75,75
8379,Alexis Mac Allister,0,0,0,0,0,75,75,76
8323,Josh Brownhill,0,0,0,0,0,73,76,0
8480,Max Thompson,0,0,0,0,0,61,60,0
2381,Rodrigo,0,0,0,0,0,82,78,77
6441,Ferrán Torres,0,0,0,0,0,80,82,0
65,Timo Werner,0,0,0,0,0,85,84,0
3585,Said Benrahma,0,0,0,0,0,77,78,78
2517,Martin Odegaard,0,0,0,0,0,0,82,84
2361,Willian José,69,71,78,82,82,82,80,78
2163,Diego Llorente,0,0,0,0,0,76,78,76
229,Thiago Alcántara,81,83,84,88,86,86,85,86
9205,Jayden Bogle,0,0,0,0,0,73,0,0
9040,Conor Gallagher,0,0,0,0,0,71,77,79
8992,Hakim Ziyech,0,0,0,0,0,85,0,83
8722,Ezgjan Alioski,0,0,0,0,0,72,0,0
6157,Timothy Castagne,0,0,0,0,0,77,79,78
5613,Gabriel,71,74,74,74,74,75,76,75
4490,Semi Ajayi,0,0,0,0,0,73,0,0
3288,Thiago Silva,0,0,0,0,0,85,85,86
9290,Mbaye Diagne,62,0,0,68,74,77,74,74
5587,Josh Maja,0,60,0,0,0,0,0,0
8778,Fabio Silva,0,0,0,0,0,69,70,0
8706,Eberechi Eze,0,0,0,0,0,75,77,76
5220,Kai Havertz,0,0,0,0,0,85,84,84
4381,Mateusz Klich,0,0,0,0,0,75,74,74
8026,Raphinha,0,0,0,0,0,81,82,0
2249,James Rodríguez,0,0,0,0,0,82,0,0
8286,Jack Robinson,0,0,0,0,0,70,0,0
8272,João Pedro,0,0,0,0,0,0,71,0
8257,Gedson Fernandes,0,0,0,0,0,75,0,0
8254,Indiana Vassilev,0,0,0,0,0,60,62,62
7753,James Justin,0,0,0,0,69,74,77,76
7727,Henri Lansbury,0,0,0,0,70,69,0,0
7725,Jonathan Kodjia,0,0,0,0,73,0,0,0
7715,Simon Moore,0,0,0,0,67,67,0,0
7714,Ben Osborn,0,0,0,0,72,74,0,0
7713,Luke Freeman,0,0,0,0,73,0,0,0
7705,Jack O'Connell,61,63,64,67,73,75,78,75
7704,Chris Basham,0,0,0,0,73,77,0,0
7702,Dean Henderson,0,0,0,0,75,80,80,79
7694,Marco Stiepermann,0,0,0,0,73,0,0,0
7692,Tom Trybull,0,0,0,0,73,0,0,0
7690,Grant Hanley,0,0,0,0,70,0,75,0
7689,Ben Godfrey,0,0,0,0,71,72,77,77
7688,Max Aarons,0,0,0,0,72,0,75,0
7602,Kelland Watts,0,0,0,56,0,0,0,67
7382,Dan Burn,0,0,0,0,73,75,75,77
7230,Emile Smith-Rowe,0,0,0,64,65,69,78,80
6997,Ignacio Pussetto,60,58,66,69,74,76,74,74
6336,Bruno Jordao,0,0,0,0,61,0,62,62
5681,Giovani Lo Celso,0,0,0,0,83,82,80,81
