name,full_name,season,team_id
ARS,Arsenal,2122,1
AVL,Aston Villa,2122,2
BRE,Brentford,2122,3
BHA,Brighton and Hove Albion,2122,4
BUR,Burnley,2122,5
CHE,Chelsea,2122,6
CRY,Crystal Palace,2122,7
EVE,Everton,2122,8
LEI,Leicester City,2122,9
LEE,Leeds United,2122,10
LIV,Liverpool,2122,11
MCI,Manchester City,2122,12
MUN,Manchester United,2122,13
NEW,Newcastle United,2122,14
NOR,Norwich,2122,15
SOU,Southampton,2122,16
TOT,Tottenham Hotspur,2122,17
WAT,Watford,2122,18
WHU,West Ham United,2122,19
WOL,Wolverhampton Wanderers,2122,20
