name,full_name,season,team_id
ARS,Arsenal,2324,1
AVL,Aston Villa,2324,2
BOU,AFC Bournemouth,2324,3
BRE,Brentford,2324,4
BHA,Brighton and Hove Albion,2324,5
BUR,Burnley,2324,6
CHE,Chelsea,2324,7
CRY,Crystal Palace,2324,8
EVE,Everton,2324,9
FUL,Fulham,2324,10
LIV,Liverpool,2324,11
LUT,Luton,2324,12
MCI,Manchester City,2324,13
MUN,Manchester United,2324,14
NEW,Newcastle United,2324,15
NFO,Nottingham Forest,2324,16
SHU,Sheffield United,2324,17
TOT,Tottenham Hotspur,2324,18
WHU,West Ham United,2324,19
WOL,Wolverhampton Wanderers,2324,20
